Date,Portfolio Daily P&L %,HSI.HI Daily P&L %,HSCEI.HI Daily P&L %
6/14/17,-0.51%,0.09%,-0.10%
6/15/17,-1.36%,-1.20%,-1.60%
6/16/17,0.43%,0.24%,0.37%
6/19/17,1.23%,1.16%,1.31%
6/20/17,-0.90%,-0.31%,-0.50%
6/21/17,-0.76%,-0.57%,-0.72%
6/22/17,0.07%,-0.08%,0.09%
6/23/17,0.19%,-0.02%,0.26%
6/26/17,1.34%,0.79%,0.96%
6/27/17,0.21%,-0.12%,-0.31%
6/28/17,-0.74%,-0.61%,-0.86%
6/29/17,1.35%,1.10%,0.23%
6/30/17,-0.74%,-0.77%,-0.64%
7/3/17,0.32%,0.08%,0.46%
7/4/17,-1.42%,-1.53%,-1.02%
7/5/17,0.22%,0.52%,0.73%
7/6/17,-0.05%,-0.22%,-0.33%
7/7/17,-0.75%,-0.49%,-0.91%
7/10/17,0.04%,0.63%,-0.36%
7/11/17,2.01%,1.48%,1.97%
7/12/17,0.84%,0.64%,0.97%
7/13/17,1.30%,1.16%,1.52%
7/14/17,0.15%,0.16%,0.47%
7/17/17,0.41%,0.31%,0.51%
7/18/17,-0.46%,0.21%,-0.26%
7/19/17,0.60%,0.56%,0.98%
7/20/17,0.05%,0.26%,-0.13%
7/21/17,-0.06%,-0.13%,-0.55%
7/24/17,0.44%,0.53%,0.31%
7/25/17,-0.13%,0.02%,-0.35%
7/26/17,0.38%,0.33%,0.45%
7/27/17,0.34%,0.71%,0.25%
7/28/17,-0.69%,-0.56%,-0.94%
7/31/17,0.94%,1.28%,0.67%
8/1/17,1.71%,0.79%,1.81%
8/2/17,0.26%,0.24%,0.28%
8/3/17,-0.47%,-0.28%,-0.48%
8/4/17,0.07%,0.12%,0.01%
8/7/17,0.58%,0.46%,0.47%
8/8/17,0.25%,0.59%,0.23%
8/9/17,-1.14%,-0.35%,-1.06%
8/10/17,-1.86%,-1.13%,-1.65%
8/11/17,-2.22%,-2.04%,-1.94%
8/14/17,1.30%,1.36%,1.27%
8/15/17,0.63%,-0.28%,0.29%
8/16/17,0.65%,0.86%,0.74%
8/17/17,-0.53%,-0.24%,-0.15%
8/18/17,-1.36%,-1.08%,-1.00%
8/21/17,0.39%,0.40%,0.54%
8/22/17,1.84%,0.91%,1.89%
8/23/17,0.00%,0.00%,0.00%
8/24/17,0.88%,0.43%,0.88%
8/25/17,2.20%,1.20%,2.15%
8/28/17,0.21%,0.05%,0.48%
8/29/17,-1.04%,-0.35%,-0.41%
8/30/17,0.54%,1.19%,0.69%
8/31/17,-0.84%,-0.44%,-0.69%
9/1/17,-0.14%,-0.06%,-0.09%
9/4/17,-0.85%,-0.76%,-0.91%
9/5/17,0.30%,0.00%,0.08%
9/6/17,-0.72%,-0.46%,-0.56%
9/7/17,-0.53%,-0.33%,-0.27%
9/8/17,0.46%,0.53%,0.46%
